budget,revenue,runtime,has_budget,director_missing,release_year,is_weekend,month_sin,month_cos,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_romance,genre_science_fiction,genre_sport,genre_tv_movie,genre_thriller,genre_war,genre_western,director_encoded
45351643.999321274,19.0,15.5,1,0,2024,0,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32757785804249
320390.0,320390.0,96.0,0,0,2025,1,0.49999999999999994,0.8660254037844387,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.20772014261887
2866783.0,3481520.0,102.0,0,0,2025,1,-0.8660254037844384,-0.5000000000000004,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.724105854244192
11675627.0,11675627.0,103.0,0,0,2025,1,-0.5000000000000004,0.8660254037844384,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.534603483194173
53.0,13.0,15.5,0,0,2022,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.295152863138968
80000000.0,103323366.0,132.0,0,0,2025,1,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.200622285302464
45351643.999982715,7790.0,82.0,1,0,2024,0,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.869849878658568
5.0,1.0,15.5,0,0,2022,0,0.8660254037844387,-0.49999999999999983,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.118251940497577
1.0,2.0,15.5,0,0,2024,0,1.0,6.123233995736766e-17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.214433808541846
7502846.0,7502846.0,109.0,0,0,2021,1,1.2246467991473532e-16,-1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.494401570126373
68749.0,68749.0,100.0,0,0,2023,1,1.0,6.123233995736766e-17,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.067805107312928
123107.0,137984.0,91.0,0,0,2023,1,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11.131138584317524
11478326.0,11830860.0,108.0,0,0,2023,1,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.535804198116786
45351643.99946989,1000.0,20.0,1,0,2025,1,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.50611448553199
45351644.00009021,77145.0,95.0,1,0,2023,0,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.078279924937219
9000.0,1.0,45.0,0,0,2023,0,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.332826543836108
174036.0,174036.0,94.0,0,0,2022,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11.15224066947116
150000000.0,163692228.0,115.0,0,0,2021,0,-0.4999999999999998,-0.8660254037844388,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.774647521376771
99296.0,99296.0,116.0,0,0,2024,0,1.2246467991473532e-16,-1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.10122680027363
148582.0,3552126.0,90.0,0,0,2024,1,0.49999999999999994,0.8660254037844387,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61765314580326
20.0,5.0,15.5,0,0,2025,1,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21812578492195
2000000.0,6175213.0,88.0,0,0,2022,0,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,11.716892475104588
650000000.0,16653687.0,134.0,0,0,2020,0,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.566887856025254
2000000.0,3886139.0,100.0,0,0,2026,1,0.8660254037844386,0.5000000000000001,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.70113979339128
3200000.0,360868.0,94.0,0,0,2021,0,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.218535859589526
40000000.0,89400711.0,116.0,0,0,2025,1,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.155670813361825
7665865.0,7697028.0,126.0,0,0,2023,1,-0.8660254037844384,-0.5000000000000004,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.744720503507589
1123693.0,1123693.0,98.0,0,0,2020,1,-0.8660254037844384,-0.5000000000000004,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11.321796017753792
1463643.0,1463643.0,96.0,0,0,2023,1,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11.34582399449522
5500000.0,457144.0,88.0,0,0,2021,1,0.8660254037844386,0.5000000000000001,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.40525800031279
1232060.0,1232060.0,133.0,0,0,2025,1,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.330165736340936
10000000.0,1905058.0,111.0,0,0,2021,1,-0.8660254037844384,-0.5000000000000004,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.36978615473685
10.0,11.0,15.5,0,0,2022,1,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.281139164972855
100.0,5.0,15.5,0,0,2024,0,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.21812578492195
45351644.00260374,1000000.0,163.5,1,1,2025,0,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.351393205362717
75.0,300.0,15.5,0,0,2021,0,1.0,6.123233995736766e-17,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.054066284567687
1579580.0,1579580.0,92.0,0,0,2020,1,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35275403135219
30.0,5.0,15.5,0,0,2024,1,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.539723766801379
40.0,10.0,100.0,0,0,2022,0,-0.8660254037844384,-0.5000000000000004,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.273229039791978
100.0,130.0,25.0,0,0,2023,1,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.498438317101323
25092.0,25092.0,93.0,0,0,2020,1,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10.976178942425058
3622369.0,3622369.0,114.0,0,0,2025,0,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.428205748238902
45351644.000090234,1.0,95.0,1,1,2022,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.351393205362717
2072173.0,19510578.0,99.0,0,0,2021,0,-0.8660254037844386,0.5000000000000001,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.951947056664897
45351644.00013988,142591.0,101.0,1,0,2021,0,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.134124259029115
21575.0,21575.0,98.0,0,0,2022,1,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.962451002702998
1025958.0,5215895.0,118.0,0,0,2024,1,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.680064612358153
3081.0,3081.0,87.0,0,0,2025,1,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.460333039966198
20762.0,20762.0,98.0,0,0,2023,0,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11.382026477637018
11000000.0,9811703.0,89.0,0,0,2025,0,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.93436987094003
1789472.0,1789472.0,123.0,0,0,2026,1,1.0,6.123233995736766e-17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.364095989634036
45351643.99968506,100000000.0,46.0,1,0,2024,0,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.729845901715068
3000000.0,20322.0,117.0,0,0,2020,1,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.957012063045793
1.0,2.0,15.5,0,0,2024,0,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.155112404871046
449020.0,3344788.0,101.0,0,0,2024,1,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.42095803047687
